Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Madagascar,MDG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,1300,,,
Madagascar,MDG,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,43.28358078,,43.7810936,,37.3134346,41.29353333,39.90384674,35.57692337,36.05769348,35.57692337,30.28846169,16.587677,18.00947952,18.30985832,16.43192482,22.06572723,27.0935955,28.5714283,32.01970291,32.01970291,30.58252335,34.29951859,33.81642532,33.33333206,33.81642532,33.33333206,
Madagascar,MDG,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,6.435006435,7.019064125,9.057971014,10.01697793,11.78707224,10.44362292,8.997429306,3.950426026,2.841677943,1.351351351,1.755041075,2.057739558,7.553014058,9.560009214,20.32817426,24.82819774,31.30376205,21.88384961,27.29080675,25.91252091,25.0789203,26.13468507,25.54371582,25.94403863,29.71881561,33.17721318,34.0207725,28.384686,13.69185077,25.92974033,39.16864889,43.93897025,41.71488027,31.45462175,30.40516202,32.52988908,32.35215507,40.35548111,42.20006861,43.72471178,49.26594804,56.54340769,62.20384142,50.87821873,51.96613573,51.96820611,23.68456372,16.05333444,32.78837183,,
Madagascar,MDG,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,32280344.61,53846707.2,34651661.18,23974397.46,23309920.01,50864787.58,55235086.36,47510323.5,42260468.02,39540092.81,46441252.6,49148839.02,62054511.47,81199885.27,99182246.31,112533229.4,129157334,125059933.7,142974659.8,153032019.1,183827279,220602732.1,253490816.3,285580947.5,308097275.2,300026656,356244821.3,404542815.8,467183077.9,293111511.5,400648519.8,415917971.6,557555103.7,861201973.7,1151314613,789251961,954956677.3,1184852633,1327676190,1312701955,1355326176,1098968678,1205928320,1317988462,1340626712,1438353850,610673565.8,621676282.3,1119373730,,
Madagascar,MDG,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,68000000,63500000,78000000,71300000,80600000,83500000,86900000,83800000,90200000,92954000,119187000,121366000,134596000,168586000,196000000,172646000,221542000,296532000,343804000,366485000,342728000,248458000,240750000,257866000,307118000,246055000,292659000,299629634.2,240051453.1,279638838.4,342293706.1,263636116.1,233204567.9,221885385.1,283723710.3,301879557.5,275061354,207694061.1,214858426,195829773.3,783375781,925151613,667211529,999936855,943494223,813450644,892451903,1130058892,1240632202,966050034,1014045012,1403775706,1139331078,1567002394,2144962287,2061082607,2206452496,2868259439,2965070980,2500240413,1948315836,2706507697,3545559762,3094651612,
Madagascar,MDG,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,10.73529412,7.244094488,6.666666667,1.823281907,0.2481389578,1.916167665,2.53164557,1.789976134,1.33037694,1.343675366,1.522817086,0.8223060824,0.9606526197,0.674433227,0.2617346939,4.015731613,0.5926641449,5.219335519,2.575304534,6.306124398,4.261105016,4.170121308,3.857943925,3.068648058,0.001302430987,,0.08371517705,0.9348624082,0.1021380907,2.164063166,0.2236834644,0.4543422414,0.6669370675,0.9926338444,2.017340849,2.264257319,1.498098388,1.144509661,1.217739902,0.8168778261,0.2593792212,0.3136947457,0.299077416,0.4905946786,0.8046351334,0.4326509575,0.9589452352,1.06845051,0.9173371432,1.097246895,1.265670148,1.111703525,0.8990343718,1.061691167,0.9951968447,0.6292243191,0.6276790923,0.7176645432,1.536690026,1.177114283,0.9334645679,0.4218891383,0.3360327226,0.4436552065,
Madagascar,MDG,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,10.73529412,7.244094488,6.666666667,1.823281907,1.861042184,2.754491018,2.991944764,2.028639618,5.099778271,2.458205134,8.900299529,9.383188043,6.208951232,8.137093234,3.98622449,10.54817372,8.130286808,12.38652152,19.61611849,20.7421859,8.392369459,26.5501614,17.5509865,3.404481397,0.1631294812,8.831358843,6.203465467,2.296421615,2.183386721,6.433556639,1.291459163,1.636528017,2.249291977,1.765006952,3.184322672,4.202897088,3.240248709,5.53479983,5.876426583,9.398983219,3.528364122,4.117962231,3.282703618,2.868584037,3.643966244,8.639355137,6.904062818,6.30735721,6.280295391,10.24460644,14.17141954,16.66412398,21.67019761,13.9105425,11.96581593,16.46812087,14.20575646,14.17218643,19.56750553,13.30198493,14.16302085,21.24015275,22.88640992,19.78444202,
Madagascar,MDG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,4.240464015,4.17100032,3.67450564,4.208099,3.684520869,3.310099251,2.932477089,4.209790024,5.011107407,4.236334527,4.507646509,3.720371024,5.100499357,6.385455831,5.423958363,4.701129364,5.40142427,3.934315576,3.585725093,5.01214887,4.189568161,3.192711319,2.603453713,5.348070013,,,,,7.662904379,7.038393056,6.509901396,6.208258433,3.58948734,6.934499635,15.52738235,6.640616674,7.151173328,3.775719521,2.069151581,1.26899268,1.373297366,1.411854298,2.491195211,3.939786955,3.606948339,3.313742463,2.994298617,2.821396093,8.4079305,9.62871473,19.10294823,29.94691375,35.82015083,33.98895166,24.92751555,23.30501251,25.03975213,27.07859642,17.51267526,31.3612347,38.69107398,39.30620642,
Madagascar,MDG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,0.01778569959,0.01279627713,0.004438782009,0.009371439082,0.6901701482,3.824030291,3.443541879,3.578801113,3.865129428,3.604910488,3.992043568,5.096249401,9.644812954,8.588182478,8.303755146,3.806160931,2.409163224,4.694705514,5.964219783,7.861459224,7.699658983,6.666494706,2.347509925,3.947602759,,,,,0.5141169892,0.4572994438,3.484025289,3.263338167,0.6212612632,1.485339853,3.242224776,2.867955875,4.221656881,2.384907995,3.799398405,1.165992827,1.959673323,4.280068182,1.785552392,1.053887672,5.510206055,7.222502407,5.847699831,4.51286688,5.905117903,6.39082702,6.855390914,4.436772581,3.757116075,2.971344132,2.555200712,1.834357742,2.325341039,2.931401307,1.700183982,1.175845863,2.246921281,2.334103308,
Madagascar,MDG,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,48.54483262,37.01191872,35.08550195,31.37276175,35.07255415,32.56198639,32.05749576,32.85867028,27.59425177,38.85039965,31.06127226,35.94285919,33.94411417,35.31501986,41.00577095,41.10436924,40.28398055,41.33000811,39.74052934,44.11883706,54.77988207,71.1912277,39.04741261,64.40683593,72.68727143,61.34240184,67.3466137,78.61504793,76.72518703,63.88875799,62.89836435,71.77927658,69.25150417,90.94754686,97.63756582,100,117.7715429,159.6662319,188.0483933,169.2895897,128.1812195,131.0647655,,,
Madagascar,MDG,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,64.25181014,64.26734349,63.11899238,64.66066259,62.35261402,65.88423069,68.84193194,66.60076531,68.16505216,66.61026616,68.84406984,68.53432064,67.38517947,70.96068595,69.69735396,47.99054859,43.51088269,52.18612227,54.91523796,48.37706471,44.20371503,40.89305019,54.3561362,52.71811281,43.5733799,44.34384003,48.30042036,49.82869292,45.39649466,48.1209464,50.48200534,46.24705862,41.99879401,39.29468551,41.94463488,42.02103998,38.16860275,47.95463173,54.34161269,57.05953692,60.81431543,60.63562549,59.78209169,54.55602757,49.93775063,50.4984027,49.57508356,55.63779584,60.35714332,,
Madagascar,MDG,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,1.563937443,0.515995872,0.4382120947,0.5046257359,0.7936507937,3.714710253,3.684598379,2.844311377,4.06714009,4.085148815,1.489598436,1.394821724,0.9569653489,1.704451835,1.189433898,1.15045492,1.384514209,1.204745459,1.103312475,3.393605175,0.4640487301,0.2451734414,0.3872453155,0.4432164854,2.496440601,0.9491367808,1.991567488,1.245502631,1.559990247,2.637676526,2.803328537,6.569796923,9.154302815,10.48198992,2.176332544,7.877269098,16.21826237,11.48622521,8.840489278,9.672491392,6.723656276,13.39202213,12.16471917,13.04026107,11.35348382,10.40566897,11.70895147,11.12962122,10.27035801,8.798576947,14.04056957,11.02587807,10.64570916,10.31561318,9.263447207,10.03002122,9.501014446,8.873677821,9.501750164,9.701247671,8.059462244,8.06246352,8.563110187,8.115092042,
Madagascar,MDG,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,1.379944802,0.8255933953,1.226993865,0.5046257359,0.873015873,0.7429420505,0.515843773,0.1497005988,0.1936733376,0.2240426123,0.1591422502,0.06592712056,0.1629489734,0.159277454,0.2706656132,0.3346120629,0.4961175914,0.04579064645,0.07663301919,3.87291977,1.366132247,1.091303623,2.798097061,4.033482082,0.110775428,0.5960322915,2.095300771,1.500912899,0.8292632653,0.5630536714,1.016555146,1.47664007,0.5563127186,1.023323825,2.855208898,3.192744585,1.689815739,3.961327552,4.357591765,5.926921674,4.592612593,5.287368463,4.68625333,6.760628814,5.68782269,7.641691031,4.750112302,5.963900984,6.852657967,6.353144813,4.962041451,8.160610068,8.262310763,9.908940674,11.11667875,10.32927862,10.54792291,11.87334538,11.65185525,10.82429717,10.95446884,12.20800727,13.56145077,12.11052064,
Madagascar,MDG,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,2.115915363,,,,,7.132243685,0.515843773,,,0.0277686618,0.04248288884,0.1127844129,0.1353109849,0.1562261618,0.367293771,0.5274257366,8.51091651,6.019535193,9.376379775,7.006862731,2.342855771,2.761723823,4.162054952,5.260431341,8.450185783,6.286809795,7.61547299,5.875443024,7.079530344,7.866743578,5.382556325,3.460093046,4.794256447,5.988104349,9.765705043,6.83001247,7.375917761,7.879216028,10.90419283,16.06811365,11.42558996,14.27587341,10.24269504,20.99678095,24.06376343,22.99049178,23.24322968,25.24883845,29.37667202,41.40354556,16.38757118,21.65730716,21.11135023,22.12333244,22.17336931,25.82945102,28.68101507,29.16036178,28.01668263,27.74080998,33.87276669,29.80919459,28.66571675,26.54675634,
Madagascar,MDG,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,3.863845446,3.50877193,2.45398773,1.513877208,1.428571429,2.228826152,4.053058217,1.646706587,1.807617818,1.960215081,1.756633737,1.984896696,1.440630146,2.24025875,1.21986376,1.378216072,18.97169053,13.40698533,13.01467192,8.796057505,6.642160198,19.02325155,21.74177173,16.01032455,16.43053096,13.07531099,0.1120988701,2.428914725,5.23901333,0.1818544053,0.5280739946,2.098424422,10.66658098,2.470184586,2.280029102,1.601635235,3.128545823,7.012558494,1.087794669,1.446383754,16.44244361,19.54394887,31.5236423,6.004994542,12.32278639,17.75259705,20.11416099,18.40460294,14.75832023,8.857677359,15.22806928,24.33326391,28.99886679,29.09817117,27.63695494,19.87593283,19.85660816,16.94292399,20.69251574,18.09712629,15.75922541,20.33067525,22.7124163,24.12987489,
Madagascar,MDG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,3.62,2.99,3.74,4.78,4.63,4.14,5.59,4.27,3.58,3.13,2.46,2.38,1.81,2.47,3.29,2.75,2.73,2.71,2.1,2.37,2.71,,,
Madagascar,MDG,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,42.8,44.8,41.5,40.9,38.3,37.6,37.6,46,46,50.6,54.5,55.8,58.4,57.1,61,66.8,66.8,63.6,62.3,64.2,64.9,62.1,61.8,66.9,73.1,82,87.2,93.6,109.6,100.1,106,121.2,118.6,117.1,114.6,100,99.3,103.6,108,104.1,101.6,115.8,130.9,125.4,
Madagascar,MDG,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,4.23,4.26,4.3,,3.86,3.91,3.83,3.83,3.76,16.36,12.78,12.84,12.82,12.74,12.75,12.74,13.37,13.34,13.34,13.48,13.28,13.24,13.23,13.23,13.23,13.23,13.6,,
Madagascar,MDG,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.26,55.97,55.97,55.97,,55.97,55.97,55.25,55.25,55.25,55.26,55.25,54.44,54.44,54.44,54.44,54.44,53,53,53,53,53,53.66,53.66,53.62,53.58,53.62,,,
