"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,19804,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,308294,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,66043,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,68,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,165768,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2045840,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,8555413,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,1559029,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,400125,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,123622278,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,12237358,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,3105272,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,265,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,53713,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,98880,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,20636,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,11.000000000000002,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,123069,2023
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,43671.00000000001,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,31841.999999999996,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,86628,2023
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,215378,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,3467,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,1035948.0000000001,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,2716365.0000000005,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,257145,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,153118,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,71781,2023
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,10935,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,2578489,2023
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,3288,2023
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,356,2023
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,431,2023
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,13.000000000000002,2023
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,281713,2023
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,366014,2023
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,297794,2023
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,526300,2023
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,323771,2023
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,63098170,2023
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,1325207,2023
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,1355828,2023
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,1127724,2023
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,118923,2023
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,172741,2023
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,88950,2023
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,202,2023
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,24443,2023
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,4906,2023
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,17,2023
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,39334438,2023
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,3271769,2023
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,6925501,2023
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,241838,2023
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,40085,2023
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,159158,2023
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,29809,2023
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,3106.0000000000005,2023
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,10919521,2023
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,347460154,2023
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,7180131,2023
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,306636879,2023
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,52398,2023
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,84059,2023
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,4455224,2023
"Cereals",210,"Corn",21005,"Vegetable Products",2,6785,2023
"Cereals",210,"Rice",21006,"Vegetable Products",2,2804,2023
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,875,2023
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,22626,2023
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,4,2023
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,12882.000000000002,2023
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,837.0000000000001,2023
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,28093,2023
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,162,2023
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,2339,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,595019,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,19339282,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,5263.999999999999,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,272629,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,880,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,626840,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,10551869,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,7756975.000000001,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,85,2023
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,2008280,2023
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,15257912.999999998,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,3884570,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,1368663,2023
"Animal or vegetable fats, oils, & waxes",315,"Fish Oil",31504,"Animal and Vegetable Bi-Products",3,70377,2023
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,1192821,2023
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,580,2023
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,704002,2023
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,20346,2023
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,3599.0000000000005,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,340861,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,4892,2023
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,27.999999999999996,2023
"Animal or vegetable fats, oils, & waxes",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,66215,2023
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,281339,2023
"Preparations of fish, crustacenas, & molluscs",416,"Sausages",41601,"Foodstuffs",4,1220,2023
"Preparations of fish, crustacenas, & molluscs",416,"Other Prepared Meat",41602,"Foodstuffs",4,47,2023
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,51436568,2023
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,2900637,2023
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,7371034,2023
"Sugars & confectioneries",417,"Other Sugars",41702,"Foodstuffs",4,4358,2023
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,70445,2023
"Cocoa & cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,32912207,2023
"Cocoa & cocoa preparations",418,"Cocoa Shells",41802,"Foodstuffs",4,1623.0000000000002,2023
"Cocoa & cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,284492,2023
"Cocoa & cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,5129,2023
"Cocoa & cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,56250,2023
"Cocoa & cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,3322976,2023
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,299,2023
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,234460,2023
"Preparations of cereals, flour, starch or milk",419,"Tapioca",41903,"Foodstuffs",4,14389,2023
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,6495,2023
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,236744,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Pickled Foods",42001,"Foodstuffs",4,596113,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Mushrooms",42003,"Foodstuffs",4,216.00000000000003,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,56311,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Vegetables",42005,"Foodstuffs",4,40538318,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Sugar Preserved Foods",42006,"Foodstuffs",4,4274,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Jams",42007,"Foodstuffs",4,626115,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Fruits and Nuts",42008,"Foodstuffs",4,1836928,2023
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Fruit Juice",42009,"Foodstuffs",4,990623,2023
"Miscellaneous edible preparations",421,"Coffee and Tea Extracts",42101,"Foodstuffs",4,1785,2023
"Miscellaneous edible preparations",421,"Yeast",42102,"Foodstuffs",4,6844.999999999999,2023
"Miscellaneous edible preparations",421,"Sauces and Seasonings",42103,"Foodstuffs",4,461362,2023
"Miscellaneous edible preparations",421,"Soups and Broths",42104,"Foodstuffs",4,6625.999999999999,2023
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,9679117,2023
"Beverages, spirits, & vinegar",422,"Water",42201,"Foodstuffs",4,4495,2023
"Beverages, spirits, & vinegar",422,"Flavored Water",42202,"Foodstuffs",4,291950,2023
"Beverages, spirits, & vinegar",422,"Beer",42203,"Foodstuffs",4,680566,2023
"Beverages, spirits, & vinegar",422,"Wine",42204,"Foodstuffs",4,31943,2023
"Beverages, spirits, & vinegar",422,"Vermouth",42205,"Foodstuffs",4,506,2023
"Beverages, spirits, & vinegar",422,"Other Fermented Beverages",42206,"Foodstuffs",4,3750,2023
"Beverages, spirits, & vinegar",422,"Alcohol > 80% ABV",42207,"Foodstuffs",4,27.000000000000004,2023
"Beverages, spirits, & vinegar",422,"Hard Liquor",42208,"Foodstuffs",4,402745,2023
"Beverages, spirits, & vinegar",422,"Vinegar",42209,"Foodstuffs",4,25968,2023
"Food residues & wastes; animal fodder",423,"Animal Meal and Pellets",42301,"Foodstuffs",4,55,2023
"Food residues & wastes; animal fodder",423,"Bran",42302,"Foodstuffs",4,22747,2023
"Food residues & wastes; animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,637346,2023
"Food residues & wastes; animal fodder",423,"Soybean Meal",42304,"Foodstuffs",4,52.99999999999999,2023
"Food residues & wastes; animal fodder",423,"Ground Nut Meal",42305,"Foodstuffs",4,183,2023
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues",42306,"Foodstuffs",4,43917,2023
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues and Waste",42308,"Foodstuffs",4,87888,2023
"Food residues & wastes; animal fodder",423,"Animal Food",42309,"Foodstuffs",4,2626877,2023
"Tobacco & substitutes",424,"Raw Tobacco",42401,"Foodstuffs",4,119,2023
"Tobacco & substitutes",424,"Rolled Tobacco",42402,"Foodstuffs",4,15574,2023
"Tobacco & substitutes",424,"Processed Tobacco",42403,"Foodstuffs",4,18,2023
