"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MDG",2001,86956.83269885369921882,41808765.584087173941576
"MDG",2002,89317.51426964304746959,42467780.597252358544423
"MDG",2003,84248.03231413761721892,37886819.8866433123517897
"MDG",2004,81845.40079313321282144,39488034.689162233442848
"MDG",2005,93628.14995910396922266,42424821.7022967036539016
"MDG",2006,71033.96436595267785985,27902146.3040810814721299
"MDG",2007,188580.08935150569953780,87569605.061219582965556
"MDG",2008,123502.26691429072875572,55108450.7866783686836805
"MDG",2009,136536.84638276398007781,64350570.670815164710265
"MDG",2010,107218.96387303633685131,48298656.859463324622278
"MDG",2011,162323.34108831306615443,80394565.599610669095296
"MDG",2012,128468.09040143570631289,60177213.182628725055723
"MDG",2013,299350.32439256912567397,150724505.074303343866211
"MDG",2014,416681.89596602882152166,193768470.4709701518303175
"MDG",2015,301788.66122449778356794,150344720.0832601216184412
"MDG",2016,383655.62688041655751672,198129423.575119239040192
"MDG",2017,510357.29238178658854068,255098942.1868047957506476
"MDG",2018,366620.16250617178235269,185670924.780871744639700
"MDG",2019,254242.66519554087534882,123321983.508632614693936
"MDG",2020,241112.00477303675576675,125691675.766000273448289
"MDG",2021,234879.82064764906683739,119438024.9512029441874779
"MDG",2022,256379.43674333250183742,132888482.693157870681820
"MDG",2023,303190.53103582260878567,158271469.1207806568033639
